,Слово,Кол-во употреблений,Коэффициент,Тональность
221,закрыться,8,"-0,694",отрицательное
222,безопасный,8,"1,0",положительное
223,стимулирование,8,"0,7343",положительное
224,изучить,8,"0,6818",положительное
225,добиться,8,"1,0",положительное
226,вернуть,8,"0,708",положительное
227,забывать,8,"-0,75925",отрицательное
228,мама,8,"1,0",положительное
229,странный,8,"-0,5972",отрицательное
230,удобство,8,"1,0",положительное
231,ценить,8,"1,0",положительное
232,понравиться,8,"0,9643",положительное
233,рад,8,"1,0",положительное
234,позитивный,8,"1,0",положительное
235,заболеть,7,"-0,95",отрицательное
236,жёсткий,7,"-0,75415",отрицательное
237,надежда,7,"1,0",положительное
238,отменить,7,"-0,75425",отрицательное
239,продвижение,7,"1,0",положительное
240,восстановление,7,"0,9828",положительное
241,комфорт,7,"1,0",положительное
242,хватать,7,"-0,58655",отрицательное
243,закрываться,7,"-0,5403",отрицательное
244,забрать,7,"-0,5505",отрицательное
245,выиграть,7,"1,0",положительное
246,комиссия,7,"-0,55",отрицательное
247,сработать,7,"0,9643",положительное
248,топ,7,"1,0",положительное
249,льгота,7,"0,7727",положительное
250,благодарить,7,"1,0",положительное
251,налогообложение,7,"-0,75",отрицательное
252,брат,7,"0,75",положительное
253,свободный,7,"0,9304",положительное
254,риск,7,"-0,73295",отрицательное
255,пострадать,7,"-1,0",отрицательное
256,приходиться,7,"-0,5849500000000001",отрицательное
257,бабушка,7,"0,9247",положительное
258,слава,7,"0,7569",положительное
259,закрывать,7,"-1,0",отрицательное
260,изучать,7,"0,7689",положительное
261,мука,7,"-0,52575",отрицательное
262,единомышленник,7,"1,0",положительное
263,фирменный,7,"0,6532",положительное
264,тренировка,7,"0,7742",положительное
265,скидка,6,"0,9",положительное
266,договариваться,6,"0,9828",положительное
267,урезать,6,"-0,8289500000000001",отрицательное
268,плясать,6,"0,7437",положительное
269,запретить,6,"-0,8922",отрицательное
270,шанс,6,"1,0",положительное
271,молчать,6,"-0,50715",отрицательное
272,боль,6,"-1,0",отрицательное
273,сокращение,6,"-0,5221",отрицательное
274,задолженность,6,"-0,95",отрицательное
275,объяснить,6,"0,6985",положительное
276,согласиться,6,"0,8136",положительное
277,уверенный,6,"1,0",положительное
278,положительный,6,"1,0",положительное
279,лето,6,"0,9167",положительное
280,элитный,6,"0,9231",положительное
281,ошибаться,6,"-0,8016",отрицательное
282,достижение,6,"1,0",положительное
283,хвалить,6,"1,0",положительное
284,развлечение,6,"1,0",положительное
285,запрет,6,"-0,92855",отрицательное
286,усилие,6,"0,7",положительное
287,рада,6,"1,0",положительное
288,победа,6,"1,0",положительное
289,понедельник,6,"-0,5882499999999999",отрицательное
290,сожаление,6,"-0,55955",отрицательное
291,спокойный,6,"0,6583",положительное
292,обойтись,6,"-0,6198",отрицательное
293,награда,6,"1,0",положительное
294,слишком,6,"-0,66595",отрицательное
295,бонус,6,"1,0",положительное
296,вынудить,6,"-1,0",отрицательное
297,производить,6,"0,6549",положительное
298,продаваться,6,"-0,7348",отрицательное
299,неопределённость,6,"-0,55",отрицательное
300,кормить,6,"0,7143",положительное
301,нарушение,6,"-1,0",отрицательное
302,удобно,6,"1,0",положительное
303,тренинг,6,"1,0",положительное
304,ограничить,6,"-0,73495",отрицательное
305,узнавать,6,"0,9107",положительное
306,научиться,6,"1,0",положительное
307,успешный,6,"1,0",положительное
308,опытный,6,"1,0",положительное
309,идеально,6,"1,0",положительное
310,ценный,6,"1,0",положительное
311,отдохнуть,6,"1,0",положительное
312,вкусный,6,"1,0",положительное
313,идеальный,6,"1,0",положительное
314,завтрак,6,"0,7164",положительное
315,сотрудничать,6,"1,0",положительное
316,почитать,6,"0,8235",положительное
317,пожелание,6,"0,9",положительное
318,ипотека,6,"-0,6991499999999999",отрицательное
319,сложность,6,"-0,6689",отрицательное
320,мотивация,6,"1,0",положительное
321,понимание,6,"0,7846",положительное
322,срезать,5,"-0,55",отрицательное
323,сократить,5,"-0,5940000000000001",отрицательное
324,бывший,5,"-0,65335",отрицательное
325,спасение,5,"1,0",положительное
326,сказка,5,"0,9643",положительное
327,преимущество,5,"1,0",положительное
328,война,5,"-1,0",отрицательное
329,мешать,5,"-0,90715",отрицательное
330,указывать,5,"-0,539",отрицательное
331,надоесть,5,"-1,0",отрицательное
332,блокировка,5,"-0,7043999999999999",отрицательное
333,вина,5,"-1,0",отрицательное
334,полноценный,5,"1,0",положительное
335,гарантировать,5,"0,8077",положительное
336,кризисный,5,"-1,0",отрицательное
337,искусство,5,"0,9643",положительное
338,занять,5,"-0,58175",отрицательное
339,удаваться,5,"1,0",положительное
340,враньё,5,"-1,0",отрицательное
341,трагедия,5,"-1,0",отрицательное
342,обожать,5,"1,0",положительное
343,восторг,5,"1,0",положительное
344,тёплый,5,"0,9828",положительное
345,герой,5,"1,0",положительное
346,терять,5,"-0,96155",отрицательное
347,привлекать,5,"0,7781",положительное
348,сомневаться,5,"-0,6317999999999999",отрицательное
349,игнорировать,5,"-0,8508",отрицательное
350,ударить,5,"-0,95",отрицательное
351,вопреки,5,"-0,5566",отрицательное
352,сэкономить,5,"0,6797",положительное
353,бесплатный,5,"0,8697",положительное
354,ненужный,5,"-0,8686499999999999",отрицательное
355,простить,5,"1,0",положительное
356,угроза,5,"-1,0",отрицательное
357,объесть,5,"-0,8200000000000001",отрицательное
358,актив,5,"0,8859999999999999",положительное
359,дыра,5,"-0,67455",отрицательное
360,отказ,5,"-0,9597",отрицательное
361,стимулировать,5,"0,7105",положительное
362,защитить,5,"0,9828",положительное
363,разработать,5,"0,6818",положительное
364,богатый,5,"0,75",положительное
365,истинный,5,"0,9444",положительное
366,убить,5,"-1,0",отрицательное
367,хаос,5,"-0,9559",отрицательное
368,отказаться,5,"-0,8326",отрицательное
369,научить,5,"0,7031",положительное
370,паника,5,"-1,0",отрицательное
371,поздравить,5,"1,0",положительное
372,справляться,5,"0,9059",положительное
373,трудный,5,"-0,8472",отрицательное
374,трудность,5,"-0,8090999999999999",отрицательное
375,нерв,5,"-1,0",отрицательное
376,славить,5,"0,9",положительное
377,молодость,5,"0,9681",положительное
378,чудесный,5,"1,0",положительное
379,наслаждаться,5,"1,0",положительное
380,пожаловать,5,"0,7018",положительное
381,доверять,5,"1,0",положительное
382,наоборот,5,"-0,5303",отрицательное
383,партнерство,5,"0,9444",положительное
384,загрузка,5,"-0,5086",отрицательное
385,умный,5,"1,0",положительное
386,профессионал,5,"1,0",положительное
387,образовательный,5,"0,9194",положительное
388,терпение,5,"0,6818",положительное
389,аналитик,5,"0,9146",положительное
390,обратный,5,"-0,5427",отрицательное
391,улучшать,5,"1,0",положительное
392,наладить,5,"1,0",положительное
393,ограниченный,5,"-0,7201500000000001",отрицательное
394,приобрести,5,"0,6905",положительное
395,мощный,5,"0,9",положительное
396,суббота,5,"0,7435",положительное
397,вдохновлять,5,"1,0",положительное
398,зачёт,5,"0,75",положительное
399,пропустить,4,"-0,6066499999999999",отрицательное
400,рождаться,4,"0,6864",положительное
401,карантинный,4,"-0,92855",отрицательное
402,фастфуд,4,"-0,68605",отрицательное
403,парк,4,"0,688",положительное
404,убивать,4,"-1,0",отрицательное
405,разрешить,4,"0,7373",положительное
406,поздно,4,"-0,742",отрицательное
407,худой,4,"-0,5336",отрицательное
408,вестись,4,"-0,81155",отрицательное
409,способствовать,4,"0,6905",положительное
410,падать,4,"-0,81755",отрицательное
411,радужный,4,"1,0",положительное
412,вовремя,4,"0,9194",положительное
413,лечение,4,"0,9",положительное
414,неуплата,4,"-1,0",отрицательное
415,негативный,4,"-1,0",отрицательное
416,драйв,4,"0,9",положительное
417,смелый,4,"1,0",положительное
418,судить,4,"-0,7091000000000001",отрицательное
419,перевыполнить,4,"0,75",положительное
420,меньший,4,"-0,6317999999999999",отрицательное
421,неприятный,4,"-1,0",отрицательное
422,модный,4,"1,0",положительное
423,смерть,4,"-0,8577",отрицательное
424,угодный,4,"0,8301",положительное
425,увольнять,4,"-0,9564999999999999",отрицательное
426,обещание,4,"0,7105",положительное
427,тревога,4,"-0,9914000000000001",отрицательное
428,врать,4,"-1,0",отрицательное
429,компенсация,4,"0,7636",положительное
430,ответственный,4,"1,0",положительное
431,осознать,4,"0,7857",положительное
432,успевать,4,"1,0",положительное
433,адекватный,4,"1,0",положительное
434,туризм,4,"0,6716",положительное
435,подарить,4,"1,0",положительное
436,договориться,4,"0,6969",положительное
437,поздравлять,4,"1,0",положительное
438,заставить,4,"-0,9231",отрицательное
439,честный,4,"1,0",положительное
440,воля,4,"0,9167",положительное
441,увольнение,4,"-0,9152",отрицательное
442,наёмный,4,"-0,5561",отрицательное
443,вывести,4,"-0,52705",отрицательное
444,бить,4,"-0,95",отрицательное
445,депрессия,4,"-1,0",отрицательное
446,судебный,4,"-0,5278",отрицательное
447,достойный,4,"1,0",положительное
448,коронакризис,4,"-1,0",отрицательное
449,обеспечение,4,"0,6532",положительное
450,надёжный,4,"1,0",положительное
451,подтверждать,4,"0,6667",положительное
452,коронабесный,4,"-1,0",отрицательное
453,малыш,4,"1,0",положительное
454,чтение,4,"0,6951",положительное
455,больной,4,"-0,51165",отрицательное
456,жажда,4,"-0,81955",отрицательное
457,искренний,4,"1,0",положительное
458,некогда,4,"-0,66465",отрицательное
459,пахать,4,"-0,54255",отрицательное
460,выдержать,4,"0,7059",положительное
461,тёмный,4,"-0,7087",отрицательное
462,путешествие,4,"0,804",положительное
463,пригласить,4,"0,6532",положительное
464,благодарность,4,"1,0",положительное
465,страшно,4,"-1,0",отрицательное
466,сердце,4,"0,6838",положительное
467,постараться,4,"1,0",положительное
468,вынужденный,4,"-0,82465",отрицательное
469,переделывать,4,"-0,56115",отрицательное
470,устать,4,"-0,79445",отрицательное
471,батюшка,4,"1,0",положительное
472,светлый,4,"0,9828",положительное
473,выпить,4,"-0,5103",отрицательное
474,бросить,4,"-0,6474500000000001",отрицательное
475,верный,4,"1,0",положительное
476,наставник,4,"0,9194",положительное
477,разрешение,4,"0,8023",положительное
478,соблюдение,4,"0,9118",положительное
479,убыток,4,"-1,0",отрицательное
480,заслужить,4,"0,8590000000000001",положительное
481,насыщенный,4,"0,9286",положительное
482,мечтать,4,"1,0",положительное
483,обучать,4,"0,9",положительное
484,мотивировать,4,"0,9643",положительное
485,обед,4,"0,6628",положительное
486,невозможный,4,"-0,7544500000000001",отрицательное
487,вклад,4,"0,6532",положительное
488,согласование,4,"0,6707",положительное
489,потенциал,4,"1,0",положительное
490,непростой,4,"-0,58",отрицательное
491,кредитор,4,"-0,625",отрицательное
492,знакомиться,4,"0,6774",положительное
493,че,4,"-0,6926",отрицательное
494,роскошный,4,"1,0",положительное
495,дышать,4,"0,6667",положительное
496,кидать,3,"-0,60525",отрицательное
497,уволить,3,"-0,97725",отрицательное
498,согласие,3,"1,0",положительное
499,болеть,3,"-0,9821500000000001",отрицательное
500,лечить,3,"0,9",положительное
501,жаловаться,3,"-0,938",отрицательное
502,дырка,3,"-0,57675",отрицательное
503,логичный,3,"0,7143",положительное
504,жениться,3,"0,7696",положительное
505,восстанавливаться,3,"0,9",положительное
506,нестабильный,3,"-1,0",отрицательное
507,мыслить,3,"0,9118",положительное
508,ограничительный,3,"-0,67935",отрицательное
509,весёлый,3,"1,0",положительное
510,снести,3,"-0,6578999999999999",отрицательное
511,коррупция,3,"-1,0",отрицательное
512,заблокировать,3,"-0,9029",отрицательное
513,препятствие,3,"-0,9914000000000001",отрицательное
514,связанный,3,"-0,53555",отрицательное
515,заставлять,3,"-0,9569",отрицательное
516,зависимость,3,"-0,95705",отрицательное
517,чудо,3,"1,0",положительное
518,просторный,3,"0,9",положительное
519,бомба,3,"-0,95",отрицательное
520,побеждать,3,"1,0",положительное
521,пропасть,3,"-0,85",отрицательное
522,гибель,3,"-1,0",отрицательное
523,родной,3,"1,0",положительное
524,доложить,3,"-0,5945499999999999",отрицательное
525,авария,3,"-1,0",отрицательное
526,жена,3,"0,6885",положительное
527,неправда,3,"-1,0",отрицательное
528,рассрочка,3,"-0,5597000000000001",отрицательное
529,шум,3,"-0,7097",отрицательное
530,влюбить,3,"0,9",положительное
531,запах,3,"0,6818",положительное
532,дружить,3,"1,0",положительное
533,заслуга,3,"1,0",положительное
534,протокол,3,"-0,51785",отрицательное
535,предупреждение,3,"-0,59675",отрицательное
536,переживать,3,"-0,7174",отрицательное
537,отчитаться,3,"-0,5448500000000001",отрицательное
538,конфликт,3,"-1,0",отрицательное
539,заканчиваться,3,"-0,5086",отрицательное
540,отстоять,3,"1,0",положительное
541,неполный,3,"-0,5403",отрицательное
542,нарушить,3,"-1,0",отрицательное
543,идеал,3,"0,9706",положительное
544,терпеть,3,"-0,6597",отрицательное
545,бойкот,3,"-0,95835",отрицательное
546,высказать,3,"-0,56955",отрицательное
547,создаваться,3,"0,6818",положительное
548,освободить,3,"0,9375",положительное
549,жестокий,3,"-1,0",отрицательное
550,безработица,3,"-0,9573",отрицательное
551,смеяться,3,"0,9",положительное
552,коронаканикула,3,"-1,0",отрицательное
553,дробление,3,"-0,52275",отрицательное
554,инспекция,3,"-0,5645",отрицательное
555,здравоохранение,3,"0,6923",положительное
556,благоустройство,3,"1,0",положительное
557,льготный,3,"0,7435",положительное
558,попытаться,3,"0,7066",положительное
559,уменьшить,3,"-0,57255",отрицательное
560,защищать,3,"1,0",положительное
561,обязаловка,3,"-1,0",отрицательное
562,ступор,3,"-0,8491500000000001",отрицательное
563,разгребать,3,"-0,5548",отрицательное
564,просрочка,3,"-1,0",отрицательное
565,выигрывать,3,"1,0",положительное
566,еле,3,"-0,6005499999999999",отрицательное
567,уменьшение,3,"-0,5816",отрицательное
568,платиться,3,"-0,7244999999999999",отрицательное
569,выставлять,3,"-0,5214",отрицательное
570,выпадать,3,"-0,69285",отрицательное
571,спад,3,"-1,0",отрицательное
572,моральный,3,"0,7778",положительное
573,удовлетворение,3,"1,0",положительное
574,потрудиться,3,"0,9",положительное
575,непонимание,3,"-0,83995",отрицательное
576,туалетный,3,"-0,51665",отрицательное
577,прекратить,3,"-0,6731",отрицательное
578,папа,3,"0,8276",положительное
579,переть,3,"-0,7364999999999999",отрицательное
580,ленивый,3,"-1,0",отрицательное
581,адский,3,"-1,0",отрицательное
582,шедевр,3,"1,0",положительное
583,повысить,3,"0,7373",положительное
584,оговорка,3,"-0,68255",отрицательное
585,жадность,3,"-1,0",отрицательное
586,забота,3,"1,0",положительное
587,снизиться,3,"-0,7213",отрицательное
588,забить,3,"-0,75205",отрицательное
589,плюшка,3,"0,7075",положительное
590,супруг,3,"0,6885",положительное
591,вишенка,3,"0,8858",положительное
592,торт,3,"1,0",положительное
593,хрен,3,"-0,6214500000000001",отрицательное
594,ошибиться,3,"-0,9096500000000001",отрицательное
595,проигрывать,3,"-0,8848",отрицательное
596,рекордный,3,"0,9828",положительное
597,невыносимый,3,"-1,0",отрицательное
598,выгода,3,"0,9444",положительное
599,смешной,3,"0,9255",положительное
600,сюрприз,3,"0,9",положительное
601,преодолевать,3,"0,9",положительное
602,повесить,3,"-0,55",отрицательное
603,невероятный,3,"0,7437",положительное
604,дарить,3,"0,9643",положительное
605,близкий,3,"0,9231",положительное
606,изучение,3,"0,9324",положительное
607,негатив,3,"-1,0",отрицательное
608,фантазия,3,"0,732",положительное
609,удивить,3,"0,6905",положительное
610,обмануть,3,"-1,0",отрицательное
611,чужое,3,"-0,67275",отрицательное
612,отец,3,"0,6969",положительное
613,навязывать,3,"-1,0",отрицательное
614,предать,3,"-1,0",отрицательное
615,здравый,3,"1,0",положительное
616,шок,3,"-0,7562",отрицательное
617,лай,3,"-0,55105",отрицательное
618,свежий,3,"0,9",положительное
619,ограничиться,3,"-0,5952500000000001",отрицательное
620,отобрать,3,"-0,84665",отрицательное
621,дезинфекция,3,"0,6869",положительное
622,невозможность,3,"-0,8232999999999999",отрицательное
623,непонятный,3,"-0,7124999999999999",отрицательное
624,удача,3,"1,0",положительное
625,демократичный,3,"0,6869",положительное
626,рекорд,3,"0,9",положительное
627,новинка,3,"0,7",положительное
628,заинтересовать,3,"0,9194",положительное
629,найтись,3,"0,7689",положительное
630,родиться,3,"0,6898",положительное
631,продвигать,3,"0,7759",положительное
632,состояться,3,"0,675",положительное
633,резкий,3,"-0,6872499999999999",отрицательное
634,доделать,3,"1,0",положительное
635,неумение,3,"-0,9597",отрицательное
636,плач,3,"-0,9914000000000001",отрицательное
637,приличный,3,"1,0",положительное
638,порадовать,3,"1,0",положительное
639,ярмарка,3,"0,7119",положительное
640,радоваться,3,"1,0",положительное
641,испытание,3,"-0,5591",отрицательное
642,открытость,3,"0,9",положительное
643,дефицит,3,"-1,0",отрицательное
644,загнать,3,"-0,82725",отрицательное
645,волноваться,3,"-0,792",отрицательное
646,умение,3,"0,9146",положительное
647,уютный,3,"1,0",положительное
648,улыбаться,3,"1,0",положительное
649,сломить,3,"-0,9722",отрицательное
650,бой,3,"-0,7646999999999999",отрицательное
651,стремиться,3,"0,9129999999999999",положительное
652,провал,3,"-1,0",отрицательное
653,отказать,3,"-0,91825",отрицательное
654,десерт,3,"0,8697",положительное
655,уверенность,3,"1,0",положительное
656,познакомиться,3,"0,6969",положительное
657,приглашать,3,"0,7143",положительное
658,спортивный,3,"0,775",положительное
659,талантливый,3,"1,0",положительное
660,танец,3,"0,7437",положительное
661,танцевать,3,"0,815",положительное
662,старый,3,"-0,55275",отрицательное
663,грамотность,3,"0,9",положительное
664,перекос,3,"-0,8371500000000001",отрицательное
665,влево,3,"-0,5061",отрицательное
666,последствие,3,"-0,5351",отрицательное
667,захватывать,3,"-0,7616499999999999",отрицательное
668,культура,3,"0,8092",положительное
669,преграда,3,"-0,7578",отрицательное
670,изоляция,3,"-0,74595",отрицательное
671,выгорание,3,"-1,0",отрицательное
672,слабый,3,"-0,9914000000000001",отрицательное
673,солнце,3,"0,6654",положительное
674,бесценный,3,"0,9677",положительное
675,молодец,3,"1,0",положительное
676,превысить,3,"-0,6859",отрицательное
677,кредитный,3,"-0,7232000000000001",отрицательное
678,инвалид,3,"-0,7342500000000001",отрицательное
679,отстать,3,"-0,78125",отрицательное
680,чудить,3,"-0,5386",отрицательное
681,умерший,2,"-0,97725",отрицательное
682,вынос,2,"-0,58955",отрицательное
683,ужаться,2,"-0,7543500000000001",отрицательное
684,резко,2,"-0,6710499999999999",отрицательное
685,труп,2,"-0,95",отрицательное
686,привлекательный,2,"1,0",положительное
687,иммунитет,2,"0,9",положительное
688,снижать,2,"-0,625",отрицательное
689,сиська,2,"-0,5301",отрицательное
690,шикарный,2,"1,0",положительное
691,абсурдный,2,"-0,95",отрицательное
692,тупо,2,"-1,0",отрицательное
693,сыпаться,2,"-0,6285000000000001",отрицательное
694,шляпа,2,"-0,55",отрицательное
695,рисоваться,2,"-0,7133499999999999",отрицательное
696,равнодушный,2,"-0,7805500000000001",отрицательное
697,беспокоить,2,"-0,97095",отрицательное
698,пугать,2,"-1,0",отрицательное
699,снижаться,2,"-0,6695",отрицательное
700,вскрыть,2,"-0,5053",отрицательное
701,неизбежный,2,"-0,73935",отрицательное
702,отключение,2,"-0,6839",отрицательное
703,уничтожить,2,"-1,0",отрицательное
704,атака,2,"-0,8654",отрицательное
705,полнота,2,"-0,63635",отрицательное
706,товарищ,2,"0,9",положительное
707,болезнь,2,"-1,0",отрицательное
708,повиснуть,2,"-0,56965",отрицательное
709,азарт,2,"-0,5724",отрицательное
710,подозрение,2,"-0,89625",отрицательное
711,тонус,2,"0,7174",положительное
712,топовый,2,"1,0",положительное
